Requirement Type,Credits Needed,Classes Needed,Possible Classes,Attributes
CENG Gateway,14,4,"ENCH215, MATH152, ENES101,  
CHEM102",CeBS
CE Mathematics,15,4,"MATH151, MATH152, MATH225,
MATH225",CeBS
CE Basic Science,18,5,"CHEM101, CHEM102, CHEM102L,
PHYS121, PHYS122",CeBS
CE Technical Writing,3,1,ENCH225,CeBS
English Composition,3,1,ENGL100,GED
Art/Humanities,9,3,Arts/Humanities Course,GED
Social Sciences,9,3,Social Science Course,GED
Science,8,2,"BIOL141, BIOL142, CHEM101, CHEM102, PHYS121, PHYS122", GED
Science Lab,2,1,"SCI101L, CHEM102L, PHYS122L, GES286",GED
Culture,3,1,Culture Course,GED
Language,3,1,"ARBC201, CHIN201, FREN201, GERM201, HEBR201, HIND201, JPNS201, KORE201, RUSS201, SPAN201, WOL201",GED
