Requirement Type,Credits Needed,Classes Needed,Possible Courses,Attributes
"CE Advanced Chemistry (Traditional)",18,6,"CHEM 351, CHEM 351L, CHEM 301, CHEM 302, CHEM 311L, CHEM 300 or CHEM 352 or MATH 221 or MATH 301 or MATH 404 or STAT 355","UL, ResCred, CeTT"
"CE Engineering Professional Courses (Traditional)",41,13,"ENES 101, ENES 110 or ENME 110, ENCH 215, ENCH 225L, ENCH 300, ENCH 425, ENCH 427, ENCH 437L, ENCH 440, ENCH 442, ENCH 444, ENCH 445, ENCH 446","UL, ResCred, CeTT"
CE Electives (Traditional),9,3,"Advanced Science Elective, ENCH 412, ENCH 414, ENCH 450/650, ENCH 456/656, ENCH 459/659, ENCH 468/648, ENCH 470, ENCH 472, ENCH 474, ENCH 476, ENCH 482/682, ENCH 484/693, ENCH 486/686, ENCH 489, ENCH 610, ENCH 615, ENCH 620, ENCH 630, ENCH 640, ENCH 642, ENCE 612, ENCE 614, ENCE 640, ENCE 644, ENCE 646, ENCE 648, ENCE 660, ENME 220, ENME 221, ENME 301, ENME 303, ENME 360, ENME 405, ENCE 621, ENCH 654","UL, ResCred, CeTT"
English Composition,3,1,"ENGL 100, ENGL GEP",GED
Art/Humanities,9,3,AH GEP,GED
Social Sciences,9,3,SS GEP,GED
Science,8,2,"BIOL 141, BIOL 142, CHEM 101, CHEM 102, PHYS 121, PHYS 122",GED
Science Lab,2,1,"SCI 101L, CHEM 102L, PHYS 122L, GES 286",GED
Culture,3,1,C GEP,GED
Language,3,1,"ARBC 201, CHIN 201, FREN 201, GERM 201, HEBR 201, HIND 201, JPNS 201, KORE 201, RUSS 201, SPAN 201, WOL 201, Foreign Language 201",GED
