CourseCode,Semester
CMSC 201,1
MATH 151,1
Foreign Language 201,1
ENGL GEP,1
CMSC 202,2
MATH 152,2
CMSC 203,2
AH GEP,2
SS GEP,2
CMSC 331,3
CMSC 341,3
Science Sequence I,3
SS GEP,3
Elective,3
CMSC 313,4
MATH 221,4
Science Sequence II,4
Science Lab,4
SS GEP,4
CMSC 304,5
CMSC 411,5
CMSC 4XX Elective,5
STAT 355,5
CMSC 421,6
CMSC 4XX Elective,6
CMSC 4XX Elective,6
AH GEP,6
C GEP,6
CMSC 441,7
CMSC 447,7
Upper-Level Elective,7
Elective,7
Elective,7
CMSC 4XX Elective,8
CMSC 4XX Elective,8
Elective,8
Elective,8
Elective,8
