CourseCode,Semester
COMP 101,1
ECON 101,1
MATH 155,1
ENGL GEP,1
IS 147,2
MGMT 210,2
ECON 102,2
AH GEP,2
S non-lab GEP,2
IS 247,3
IS 300,3
ECON 121,3
AH GEP,3
C GEP,3
IS 310,4
MATH 215,4
ECON 122,4
Foreign Language 201,4
AH GEP,4
IS 410,5
IS 450,5
S w/ lab GEP,5
Elective,5
Elective,5
IS 420,6
IS 451,6
STAT 351,6
SS GEP,6
Upper-Level Elective,6
IS 425,7
IS Programming Elective,7
ENGL 393,7
Upper-Level Elective,7
Elective,7
IS 436,8
IS Upper-Level Elective,8
Upper-Level Elective,8
Elective,8
Elective,8
