Class,Name,PreReq,Attributes,Credits,Semester Offered
COMP 101,Computational Thinking,,,4,"Fall,Spring"
CMSC 201,Computer Science 201,"MATH 150, MATH 151, MATH 152",,4,"Fall,Spring"
CMSC 202,Computer Science 202,"CMSC 201,CMSC 201H/MATH 150, MATH 151, MATH 152",,4,"Fall,Spring"
CMSC 203,Discrete Structures,"MATH 150, MATH 151",,3,"Fall,Spring"
CMSC 304,Ethics,"ENGL 100/ CMSC 202,CMSC 210",WI,3,"Fall,Spring"
MATH 151,,,,,"Fall,Spring"
Foreign Language 201,,,,,"Fall,Spring"
ENGL GEP,,,,,"Fall,Spring"
MATH 152,,,,,"Fall,Spring"
AH GEP,,,,,"Fall,Spring"
SS GEP,,,,,"Fall,Spring"
CMSC 331,,CMSC 202,,4,"Fall,Spring"
CMSC 341,,CMSC 202,,4,"Fall,Spring"
Science Sequence I,,,,,"Fall,Spring"
Elective,,,,,"Fall,Spring"
CMSC 313,,CMSC 202,,4,"Fall,Spring"
MATH 221,,"MATH 151, MATH 152",,4,"Fall,Spring"
Science Sequence II,,,,,"Fall,Spring"
Science Lab,,,,,"Fall,Spring"
CMSC 411,,CMSC 313,,4,"Fall,Spring"
CMSC 4XX Elective,,"CMSC 313, CMSC 331",,3,"Fall,Spring"
STAT 355,,,,3,"Fall,Spring"
CMSC 421,,CMSC 411,,3,"Fall,Spring"
AH GEP,,,,,"Fall,Spring"
C GEP,,,,,"Fall,Spring"
CMSC 441,,CMSC 421,,3,"Fall,Spring"
CMSC 447,,CMSC 421,,3,"Fall,Spring"
Upper-Level Elective,,CMSC 421,,3,"Fall,Spring"
CMSC 4XX Elective,,"CMSC 421",,3,"Fall,Spring"
Elective,,,,,"Fall,Spring"
